order_item_id;created_at;order_id;product_id;is_primary_item;price_usd;cogs_usd
1;19/03/2012 10:42;1;1;1;49.99;19.49
2;19/03/2012 19:27;2;1;1;49.99;19.49
3;20/03/2012 6:44;3;1;1;49.99;19.49
4;20/03/2012 9:41;4;1;1;49.99;19.49
5;20/03/2012 11:28;5;1;1;49.99;19.49
6;20/03/2012 16:12;6;1;1;49.99;19.49
7;20/03/2012 17:03;7;1;1;49.99;19.49
8;20/03/2012 23:35;8;1;1;49.99;19.49
9;21/03/2012 2:35;9;1;1;49.99;19.49
10;21/03/2012 6:45;10;1;1;49.99;19.49
11;21/03/2012 7:28;11;1;1;49.99;19.49
12;21/03/2012 8:21;12;1;1;49.99;19.49
13;21/03/2012 8:45;13;1;1;49.99;19.49
14;21/03/2012 9:12;14;1;1;49.99;19.49
15;21/03/2012 16:40;15;1;1;49.99;19.49
16;21/03/2012 17:13;16;1;1;49.99;19.49
17;21/03/2012 20:28;17;1;1;49.99;19.49
18;22/03/2012 6:15;18;1;1;49.99;19.49
19;22/03/2012 10:03;19;1;1;49.99;19.49
20;22/03/2012 17:49;20;1;1;49.99;19.49
21;22/03/2012 20:33;21;1;1;49.99;19.49
22;23/03/2012 12:09;22;1;1;49.99;19.49
23;23/03/2012 14:16;23;1;1;49.99;19.49
24;23/03/2012 17:14;24;1;1;49.99;19.49
25;24/03/2012 9:21;25;1;1;49.99;19.49
26;25/03/2012 8:32;26;1;1;49.99;19.49
27;25/03/2012 8:51;27;1;1;49.99;19.49
28;25/03/2012 16:00;28;1;1;49.99;19.49
29;25/03/2012 21:23;29;1;1;49.99;19.49
30;26/03/2012 10:03;30;1;1;49.99;19.49
31;26/03/2012 10:25;31;1;1;49.99;19.49
32;26/03/2012 14:13;32;1;1;49.99;19.49
33;26/03/2012 16:00;33;1;1;49.99;19.49
34;26/03/2012 17:55;34;1;1;49.99;19.49
35;26/03/2012 18:06;35;1;1;49.99;19.49
36;26/03/2012 18:54;36;1;1;49.99;19.49
37;26/03/2012 19:19;37;1;1;49.99;19.49
38;26/03/2012 21:13;38;1;1;49.99;19.49
39;27/03/2012 15:18;39;1;1;49.99;19.49
40;27/03/2012 16:53;40;1;1;49.99;19.49
41;28/03/2012 8:30;41;1;1;49.99;19.49
42;28/03/2012 9:56;42;1;1;49.99;19.49
43;28/03/2012 16:55;43;1;1;49.99;19.49
44;28/03/2012 21:24;44;1;1;49.99;19.49
45;28/03/2012 22:45;45;1;1;49.99;19.49
46;29/03/2012 16:11;46;1;1;49.99;19.49
47;29/03/2012 17:49;47;1;1;49.99;19.49
48;29/03/2012 23:09;48;1;1;49.99;19.49
49;30/03/2012 0:25;49;1;1;49.99;19.49
50;30/03/2012 2:27;50;1;1;49.99;19.49
51;30/03/2012 10:06;51;1;1;49.99;19.49
52;30/03/2012 10:24;52;1;1;49.99;19.49
53;30/03/2012 12:47;53;1;1;49.99;19.49
