order_id;created_at;website_session_id;user_id;primary_product_id;items_purchased;price_usd;cogs_usd
1;19/03/2012 10:42;20;20;1;1;49.99;19.49
2;19/03/2012 19:27;104;104;1;1;49.99;19.49
3;20/03/2012 6:44;147;147;1;1;49.99;19.49
4;20/03/2012 9:41;160;160;1;1;49.99;19.49
5;20/03/2012 11:28;177;177;1;1;49.99;19.49
6;20/03/2012 16:12;232;232;1;1;49.99;19.49
7;20/03/2012 17:03;241;241;1;1;49.99;19.49
8;20/03/2012 23:35;295;295;1;1;49.99;19.49
9;21/03/2012 2:35;304;304;1;1;49.99;19.49
10;21/03/2012 6:45;317;317;1;1;49.99;19.49
11;21/03/2012 7:28;321;321;1;1;49.99;19.49
12;21/03/2012 8:21;327;327;1;1;49.99;19.49
13;21/03/2012 8:45;332;332;1;1;49.99;19.49
14;21/03/2012 9:12;336;336;1;1;49.99;19.49
15;21/03/2012 16:40;428;428;1;1;49.99;19.49
16;21/03/2012 17:13;434;434;1;1;49.99;19.49
17;21/03/2012 20:28;465;465;1;1;49.99;19.49
18;22/03/2012 6:15;507;507;1;1;49.99;19.49
19;22/03/2012 10:03;536;536;1;1;49.99;19.49
20;22/03/2012 17:49;615;615;1;1;49.99;19.49
21;22/03/2012 20:33;639;639;1;1;49.99;19.49
22;23/03/2012 12:09;732;732;1;1;49.99;19.49
23;23/03/2012 14:16;750;750;1;1;49.99;19.49
24;23/03/2012 17:14;783;783;1;1;49.99;19.49
25;24/03/2012 9:21;844;844;1;1;49.99;19.49
26;25/03/2012 8:32;908;908;1;1;49.99;19.49
27;25/03/2012 8:51;909;909;1;1;49.99;19.49
28;25/03/2012 16:00;940;940;1;1;49.99;19.49
29;25/03/2012 21:23;954;954;1;1;49.99;19.49
30;26/03/2012 10:03;1018;1016;1;1;49.99;19.49
31;26/03/2012 10:25;1023;1021;1;1;49.99;19.49
32;26/03/2012 14:13;1059;1055;1;1;49.99;19.49
33;26/03/2012 16:00;1081;1077;1;1;49.99;19.49
34;26/03/2012 17:55;1094;1090;1;1;49.99;19.49
35;26/03/2012 18:06;1098;1094;1;1;49.99;19.49
36;26/03/2012 18:54;1105;1101;1;1;49.99;19.49
37;26/03/2012 19:19;1107;1103;1;1;49.99;19.49
38;26/03/2012 21:13;1125;1121;1;1;49.99;19.49
39;27/03/2012 15:18;1243;1238;1;1;49.99;19.49
40;27/03/2012 16:53;1256;1251;1;1;49.99;19.49
41;28/03/2012 8:30;1330;1325;1;1;49.99;19.49
42;28/03/2012 9:56;1343;1337;1;1;49.99;19.49
43;28/03/2012 16:55;1419;1412;1;1;49.99;19.49
44;28/03/2012 21:24;1454;1447;1;1;49.99;19.49
45;28/03/2012 22:45;1463;1456;1;1;49.99;19.49
46;29/03/2012 16:11;1581;1574;1;1;49.99;19.49
47;29/03/2012 17:49;1605;1598;1;1;49.99;19.49
48;29/03/2012 23:09;1643;1635;1;1;49.99;19.49
49;30/03/2012 0:25;1646;1638;1;1;49.99;19.49
50;30/03/2012 2:27;1654;1646;1;1;49.99;19.49
51;30/03/2012 10:06;1685;1677;1;1;49.99;19.49
52;30/03/2012 10:24;1691;1683;1;1;49.99;19.49
53;30/03/2012 12:47;1709;1701;1;1;49.99;19.49
54;30/03/2012 14:26;1726;1718;1;1;49.99;19.49
55;30/03/2012 14:39;1729;1721;1;1;49.99;19.49
56;31/03/2012 0:22;1790;1782;1;1;49.99;19.49
57;31/03/2012 2:32;1802;1794;1;1;49.99;19.49
58;31/03/2012 6:40;1807;1799;1;1;49.99;19.49
59;31/03/2012 10:25;1823;1815;1;1;49.99;19.49
60;31/03/2012 19:24;1863;1855;1;1;49.99;19.49
61;01/04/2012 6:45;1890;1882;1;1;49.99;19.49
62;01/04/2012 12:38;1912;1902;1;1;49.99;19.49
63;01/04/2012 17:33;1939;1929;1;1;49.99;19.49
64;01/04/2012 18:26;1944;1934;1;1;49.99;19.49
65;02/04/2012 11:07;2036;2025;1;1;49.99;19.49
66;02/04/2012 16:32;2089;2076;1;1;49.99;19.49
67;02/04/2012 17:17;2102;2089;1;1;49.99;19.49
68;02/04/2012 18:36;2115;2102;1;1;49.99;19.49
69;03/04/2012 10:29;2210;2196;1;1;49.99;19.49
70;03/04/2012 11:53;2231;2217;1;1;49.99;19.49
71;03/04/2012 15:03;2262;2247;1;1;49.99;19.49
72;03/04/2012 16:31;2291;2276;1;1;49.99;19.49
73;03/04/2012 16:36;2295;1752;1;1;49.99;19.49
74;03/04/2012 19:09;2325;2309;1;1;49.99;19.49
75;04/04/2012 7:47;2392;2376;1;1;49.99;19.49
76;04/04/2012 11:13;2422;2405;1;1;49.99;19.49
77;04/04/2012 11:34;2431;2414;1;1;49.99;19.49
78;04/04/2012 18:21;2514;2495;1;1;49.99;19.49
79;04/04/2012 19:00;2522;2503;1;1;49.99;19.49
80;05/04/2012 10:34;2624;383;1;1;49.99;19.49
81;05/04/2012 13:15;2668;2644;1;1;49.99;19.49
82;05/04/2012 20:11;2770;2746;1;1;49.99;19.49
83;06/04/2012 4:04;2810;2786;1;1;49.99;19.49
84;06/04/2012 12:16;2879;2854;1;1;49.99;19.49
85;06/04/2012 17:13;2942;2916;1;1;49.99;19.49
86;06/04/2012 22:48;2982;2956;1;1;49.99;19.49
87;07/04/2012 4:47;3000;2972;1;1;49.99;19.49
88;07/04/2012 16:15;3040;3012;1;1;49.99;19.49
89;07/04/2012 16:55;3044;3016;1;1;49.99;19.49
90;08/04/2012 2:25;3077;3048;1;1;49.99;19.49
91;08/04/2012 5:52;3082;3053;1;1;49.99;19.49
92;08/04/2012 20:50;3137;3107;1;1;49.99;19.49
93;08/04/2012 21:10;3139;3109;1;1;49.99;19.49
94;08/04/2012 22:33;3147;3116;1;1;49.99;19.49
95;09/04/2012 9:49;3189;3158;1;1;49.99;19.49
96;09/04/2012 9:50;3188;3157;1;1;49.99;19.49
97;09/04/2012 11:25;3208;3177;1;1;49.99;19.49
98;09/04/2012 15:01;3247;3215;1;1;49.99;19.49
99;09/04/2012 19:48;3295;3263;1;1;49.99;19.49
100;09/04/2012 20:28;3299;3267;1;1;49.99;19.49
101;09/04/2012 22:56;3318;3285;1;1;49.99;19.49
102;09/04/2012 23:25;3322;3289;1;1;49.99;19.49
103;10/04/2012 14:21;3421;3386;1;1;49.99;19.49
104;10/04/2012 16:40;3446;3411;1;1;49.99;19.49
105;10/04/2012 22:27;3496;3460;1;1;49.99;19.49
106;11/04/2012 14:13;3604;3565;1;1;49.99;19.49
107;11/04/2012 15:22;3618;3579;1;1;49.99;19.49
108;11/04/2012 16:38;3642;3602;1;1;49.99;19.49
109;11/04/2012 20:19;3683;3642;1;1;49.99;19.49
110;11/04/2012 21:59;3689;3648;1;1;49.99;19.49
111;12/04/2012 10:03;3746;3703;1;1;49.99;19.49
112;12/04/2012 10:51;3765;3722;1;1;49.99;19.49
113;12/04/2012 13:30;3789;811;1;1;49.99;19.49
114;12/04/2012 15:50;3807;3761;1;1;49.99;19.49
115;13/04/2012 2:13;3873;3824;1;1;49.99;19.49
116;13/04/2012 14:53;3947;3895;1;1;49.99;19.49
117;14/04/2012 23:26;4100;4047;1;1;49.99;19.49
118;15/04/2012 9:00;4119;4065;1;1;49.99;19.49
119;15/04/2012 13:20;4130;4076;1;1;49.99;19.49
120;15/04/2012 15:10;4136;4082;1;1;49.99;19.49
121;15/04/2012 16:36;4140;4086;1;1;49.99;19.49
122;16/04/2012 13:22;4224;3313;1;1;49.99;19.49
123;16/04/2012 14:54;4232;4174;1;1;49.99;19.49
124;16/04/2012 15:03;4235;4177;1;1;49.99;19.49
125;16/04/2012 17:59;4249;4191;1;1;49.99;19.49
126;16/04/2012 19:33;4258;167;1;1;49.99;19.49
127;17/04/2012 19:20;4372;455;1;1;49.99;19.49
128;18/04/2012 10:28;4420;4346;1;1;49.99;19.49
129;18/04/2012 12:10;4437;4362;1;1;49.99;19.49
130;18/04/2012 18:51;4490;755;1;1;49.99;19.49
131;18/04/2012 19:59;4501;4423;1;1;49.99;19.49
132;19/04/2012 7:42;4531;59;1;1;49.99;19.49
133;19/04/2012 13:21;4559;4474;1;1;49.99;19.49
134;19/04/2012 14:19;4566;4480;1;1;49.99;19.49
135;19/04/2012 14:20;4567;4481;1;1;49.99;19.49
136;19/04/2012 19:02;4605;4519;1;1;49.99;19.49
137;19/04/2012 21:50;4620;4533;1;1;49.99;19.49
138;20/04/2012 14:02;4685;4590;1;1;49.99;19.49
139;21/04/2012 17:39;4770;4674;1;1;49.99;19.49
140;22/04/2012 11:01;4801;4704;1;1;49.99;19.49
141;22/04/2012 16:58;4815;4718;1;1;49.99;19.49
142;22/04/2012 21:22;4828;4728;1;1;49.99;19.49
143;23/04/2012 11:07;4878;4774;1;1;49.99;19.49
144;23/04/2012 11:27;4881;4777;1;1;49.99;19.49
